distribution,size,Heapsort,Quicksort,Merge Sort
random,100,0.1456,0.1352,0.1600
random,500,0.8917,0.5496,0.8938
random,1000,1.9961,1.3163,2.0315
random,5000,12.4107,7.0532,12.2020
random,10000,27.6501,16.1959,25.2157
random,30000,98.2666,53.6899,89.0485
sorted,100,0.1154,0.0817,0.1010
sorted,500,0.8326,0.5181,0.6328
sorted,1000,2.0508,1.3393,1.4725
sorted,5000,13.4860,7.8602,7.7029
sorted,10000,29.5955,15.6014,16.4401
sorted,30000,97.8536,50.8906,52.4764
reverse_sorted,100,0.0970,0.0805,0.1103
reverse_sorted,500,0.6990,0.7522,0.6600
reverse_sorted,1000,1.7136,1.1813,1.3959
reverse_sorted,5000,11.9176,7.2101,7.8401
reverse_sorted,10000,26.0097,16.2181,16.9884
reverse_sorted,30000,88.6468,53.1281,54.5677
nearly_sorted,100,0.1147,0.0768,0.1129
nearly_sorted,500,0.8998,0.5522,0.7394
nearly_sorted,1000,1.9947,1.2505,1.6852
nearly_sorted,5000,13.6571,7.1406,9.9689
nearly_sorted,10000,29.3133,15.6739,21.3617
nearly_sorted,30000,100.6797,51.7777,72.9559
many_duplicates,100,0.0655,0.2220,0.1198
many_duplicates,500,0.6883,2.0162,0.8746
many_duplicates,1000,1.7702,4.8088,1.8746
many_duplicates,5000,11.6209,28.1217,11.5680
many_duplicates,10000,26.6992,59.8122,25.1838
many_duplicates,30000,93.3121,190.1562,88.2881
